video_id,comment_id,author_display_name,text,published_at,like_count,clean_text,word_count,sentiment
mmwuGRGLsLc,UgxHHaGtyChluA7iurx4AaABAg,@wiryaseptanisa3958,"Kadang merendahkan Indobesia kadang menjejekan negara lain,,gimana bang Benix ini ya,,😂😂😂😂",2025-04-25T00:54:09Z,726,kadang merendahkan indobesia kadang menjejekan negara laingimana bang benix ya,10,negative
mmwuGRGLsLc,UgzLmZzTyfW9VwqZTLR4AaABAg,@mamalifa,"Jujur baru tau rupanya Qris asli Indonesia,, Alhamdulillah hampir jarang ambil uang kes krna ada qris",2025-05-14T01:25:43Z,0,jujur tau qris asli indonesia alhamdulillah jarang ambil uang kes krna qris,12,positive
mmwuGRGLsLc,Ugy05F6iE89qyiW0GGl4AaABAg,@gatotherdiyanto3639,Emang kita pikirin ...maju trs q ris,2025-05-14T01:23:22Z,0,emang pikirin maju trs q ris,6,negative
mmwuGRGLsLc,Ugx0BfE26jGA0QgmYrh4AaABAg,@dionwirantobae6851,"BANG benix boleh bahas hanya sesekali saja tentang konflik luar negara tapi sering2kan bahas politik dalam negri masalah masalah dalam negri seperti apa keadaannya ,kasih reaction tegas dan sering2kan kritik kekurangan negara indonesia seperti apa agar semoga pelan pelan negara kita ini menjadi lebih baik dan terstruktur melewati mampu berjalan bersama perkembangan di jaman yg sudah di modernisasi ini",2025-05-13T19:58:24Z,0,bang benix bahas konflik negara seringkan bahas politik negri negri keadaannya kasih reaction seringkan kritik kekurangan negara indonesia semoga pelan pelan negara terstruktur melewati berjalan perkembangan jaman yg modernisasi,29,negative
mmwuGRGLsLc,Ugz3mdY71XMqo9FmgFZ4AaABAg,@chycrush37,Gak nyangka banget ×º°”˜`”°º×   🎀  𝒮𝒬𝒰𝒜𝒟𝟩𝟩𝟩  🎀   ×º°”`˜”°º× bisa dapet gede banget,2025-05-13T13:38:17Z,0,gak nyangka banget xodegdegox squad xodegdegox dapet gede banget,9,positive
mmwuGRGLsLc,UgyrNfbcxhfh6DtezMx4AaABAg,@NavvyJajula-dx6wf,stock di lapak ×º°”˜`”°º×   🎀  𝒮𝒬𝒰𝒜𝒟𝟩𝟩𝟩  🎀   ×º°”`˜”°º× juga buwanyak sekali bangg,2025-05-13T13:38:11Z,0,stock lapak xodegdegox squad xodegdegox buwanyak bangg,7,neutral
mmwuGRGLsLc,Ugzrb7t7pmH-1jHb-bV4AaABAg,@Team_Bramhman_yt,"ikann hiu ikan sapu sapu , ×º°”˜`”°º×   🎀  𝒮𝒬𝒰𝒜𝒟𝟩𝟩𝟩  🎀   ×º°”`˜”°º× terjamin jitu !!",2025-05-13T13:29:03Z,0,ikann hiu ikan sapu sapu xodegdegox squad xodegdegox terjamin jitu,10,neutral
mmwuGRGLsLc,UgxGruTibPojQOHRO5x4AaABAg,@MahirSumara,"ikan sapu sapu makan kail, ×º°”˜`”°º×   🎀  𝒮𝒬𝒰𝒜𝒟𝟩𝟩𝟩  🎀   ×º°”`˜”°º× gapernah salah !!",2025-05-13T13:27:57Z,0,ikan sapu sapu makan kail xodegdegox squad xodegdegox gapernah salah,10,neutral
mmwuGRGLsLc,UgxOFCQDWHv--T-jo6Z4AaABAg,@AshishAhirwar-ft8lz,kemaren saya cobain bawa umpang 30K di ×º°”˜`”°º×   🎀  𝒮𝒬𝒰𝒜𝒟𝟩𝟩𝟩  🎀   ×º°”`˜”°º× dapet besar !!,2025-05-13T13:24:37Z,0,kemaren cobain bawa umpang k xodegdegox squad xodegdegox dapet,9,neutral
mmwuGRGLsLc,Ugy5jPWuDZp6OeILyrl4AaABAg,@Piyushkumar-o8f9x,ikan patin ikan sapu sapu ×º°”˜`”°º×   🎀  𝒮𝒬𝒰𝒜𝒟𝟩𝟩𝟩  🎀   ×º°”`˜”°º× dijamin paling jitu,2025-05-13T13:24:32Z,0,ikan patin ikan sapu sapu xodegdegox squad xodegdegox dijamin jitu,10,neutral
