video_id,comment_id,author_display_name,text,published_at,like_count,clean_text,word_count,sentiment
1WXfqPbbIZs,UgwRGq0gYoccep-QbEB4AaABAg,@Clarenentertainment,"belum lagi ada QRIS TAB , ngak perlu scan tinggal tab. Selain itu ada lagi project QRIS cross border",2025-05-12T04:51:47Z,0,qris tab ngak scan tinggal tab project qris cross border,10,neutral
1WXfqPbbIZs,UgyY_wpOV8wYMNQSDSB4AaABAg,@asrilmohammad3922,"Bro negara Thailand elu salah bidik, yang dikau tunjuk itu Myanmar....tapi qris oke sih..Amaze banget....terusin Indonesia",2025-05-12T04:16:30Z,1,bro negara thailand elu salah bidik dikau myanmartapi qris oke sihamaze bangetterusin indonesia,13,positive
1WXfqPbbIZs,UgxKqKc8vcLbTTW7BLd4AaABAg,@gna3276,"kalau sampe Qris ada campur tangan politik apalagi pengusaha2 yang sok-sok ikut campur dan berebut menjadikan Qris hak milik independen (dalam tanda kutip contoh simplenya tapi jelas adalah Komisi Pemberantasan K* ).. 😌🥱
Siap-siap aja deh, NEGARA KITA AKAN TINGGAL ""NAMA"" KARENA SEMUA AKAN DIMANIPULATIF DEMI KEPENTING INILAH ITULAH bla bla bla,, capek tau tinggal di negara yang katanya musyawarah adalah jalan damai kita masyarakat untuk mencapai suatu kesepakatan.. 💩💩💩💩💩
cuih banagett.. 
piss salam DAMAI 😂🤣",2025-05-12T03:31:02Z,0,sampe qris campur tangan politik pengusaha soksok campur berebut menjadikan qris hak milik independen tanda kutip contoh simplenya komisi pemberantasan k siapsiap aja deh negara tinggal nama dimanipulatif kepenting bla bla bla capek tau tinggal negara musyawarah jalan damai masyarakat mencapai kesepakatan cuih banagett piss salam damai,47,negative
1WXfqPbbIZs,UgwmPDaHsHq3-Pij32N4AaABAg,@AdhiChandra-nw7rm,Panjang umur lu yg bikin qris. Sumpah mempermudah bgtttttt bgtt bgttt,2025-05-12T03:22:56Z,0,umur lu yg bikin qris sumpah mempermudah bgtttttt bgtt bgttt,10,negative
1WXfqPbbIZs,Ugw9TB3panTmNVEN4Mt4AaABAg,@akonaja6876,"ini yg betul sebutannya  QR (kiu-ar) code, BUKAN BARCODE.  Sering banget disebut barcode, bikin bingung & bikin malu krn menandakan org kurang pendidikan.",2025-05-12T03:20:19Z,0,yg sebutannya qr kiuar code barcode banget barcode bikin bingung bikin malu krn menandakan org pendidikan,16,negative
1WXfqPbbIZs,UgxmxeRWa-XuZaF8Hgh4AaABAg,@anugrahb.setiawan2515,"sepertinya bukan QRIS-Tap yang akan ditakuti oleh Visa-Master, bahkan bukan juga QRIS lokal yang ditakuti (walau volumenya sudah menakutkan juga).
yang ditakuti adalah jelmaan baru QRIS (baru diluncurkan tahun kemarin, dan sudah dipresentasikan di G20), yaitu QRIS-Cross (alias QRIS Cross-border), QRIS yang bisa digunakan diluar negri oleh warga indonesia dan bisa digunakan oleh warga luar negri di indonesia.
saat ini cakupannya baru di Malaysia dan Thailand. tapi kita bisa lihat nanti, seberapa kuat ini akan bergulir, karena biayanya jauh lebih murah dari menggunakan jalur Visa-Master, dan ini menggunakan mata uang lokal, bukan double conversion seperti kalau pakai jalur Visa-Master. kalau seluruh asean bisa terhubung dengan QRIS-Cross, apalagi bila China juga ikutan (tentunya dengan bekerja sama dengan sistem payment mereka), tentunya ini akan mengganggu hegemoni Visa-Master dan hegemoni US dollar.
lebih lanjut, bila ini juga diterapkan di negara2 yang banyak pekerja migran indonesianya (HK, Taiwan, negara2 Timur Tengah, dan lain2) tentunya akan ada lonjakan transaksi antar negara yang tidak masuk ke Visa-Master lagi.
langsung terbayang kan, betapa ini akan disrupt Visa-Master.",2025-05-12T02:43:21Z,0,qristap ditakuti visamaster qris lokal ditakuti volumenya menakutkan ditakuti jelmaan qris diluncurkan kemarin dipresentasikan g qriscross alias qris crossborder qris diluar negri warga indonesia warga negri indonesia cakupannya malaysia thailand lihat kuat bergulir biayanya murah jalur visamaster mata uang lokal double conversion pakai jalur visamaster asean terhubung qriscross china ikutan sistem payment mengganggu hegemoni visamaster hegemoni us dollar diterapkan negara pekerja migran indonesianya hk taiwan negara timur lonjakan transaksi negara masuk visamaster langsung terbayang betapa disrupt visamaster,77,neutral
1WXfqPbbIZs,UgyUpOrkEfrR0yf4mFl4AaABAg,@ajat.sudrajat,dgn qris udh ga ada lagi yg nama nya kembalian di kasih permen😊,2025-05-12T02:31:26Z,0,dgn qris udh ga yg nama nya kembalian kasih permen,10,neutral
1WXfqPbbIZs,Ugzr3fcXK5LQbV6MhmB4AaABAg,@skuylah8045,dulu 2020 banyak umkm skeptis sama Qris ini tapi dah 2025 hampir semua umkm pake Qris semua MAAANTAAAP,2025-05-12T02:17:14Z,0,umkm skeptis qris dah umkm pake qris maaantaaap,8,negative
1WXfqPbbIZs,Ugy0GEDDdAHF3dHIlUB4AaABAg,@TONIOTO,"Klo QRIS nya dikeluarin dari mesin EDC, itu bkn punya BI ya berarti. Klo belanja suka ditanya QRIS bank apa, sya sebut bank nya kasirnya ngambil edc sesuai bank yg sya sebut.",2025-05-12T01:56:17Z,0,klo qris nya dikeluarin mesin edc bkn bi ya klo belanja suka qris bank sya bank nya kasirnya ngambil edc sesuai bank yg sya,24,neutral
1WXfqPbbIZs,UgwQoheD3fk2Vv6KEbl4AaABAg,@kebetulanlewat5680,"Bang, bahas dampak masuk Vaksin TBC ke indonesia secara ekonomi dan perkembangan negara, bagaimana keterkaitannya dengan perang pasar global, serta tolong bahas tentang mengapa orang kita tidak mengecek, mencontek, dan mengembangkan sendiri inovasi mereka tentang Vaksin TB itu dengan negara yang bisa diajak kerjasama dengan negara kita seperti cina dan member BRICS lainnya, sehingga kita bisa beridir sendrii dari segala sisi untuk tidak terjajah secara ekonomi oleh mereka. semoga bisa dipertimbangkan bang.",2025-05-12T01:51:02Z,0,bang bahas dampak masuk vaksin tbc indonesia ekonomi perkembangan negara keterkaitannya perang pasar global tolong bahas orang mengecek mencontek mengembangkan inovasi vaksin tb negara diajak kerjasama negara cina member brics beridir sendrii sisi terjajah ekonomi semoga dipertimbangkan bang,38,neutral
1WXfqPbbIZs,UgwmGasohrTau_TE0614AaABAg,@wisnuruby5168,"Cara yang aman untuk meminimalisir pengedaran uang palsu, dan membantu pedagang kecil.",2025-05-12T01:13:31Z,0,aman meminimalisir pengedaran uang palsu membantu pedagang,7,neutral
1WXfqPbbIZs,UgzYRXhze5RmyTrvrFZ4AaABAg,@lukmanril,"munculnya qris,
mastercard dan visa kehilangan Interchange Fee, karena orang2 senang menggunakan qris.
ayo pindah ke qris",2025-05-12T01:12:36Z,0,munculnya qris mastercard visa kehilangan interchange fee orang senang qris ayo pindah qris,13,neutral
1WXfqPbbIZs,UgyG77gYys3BzonqBo94AaABAg,@suhadihadi9997,Jamanya presiden Mulyono ya.. hebat banget 😮,2025-05-12T00:43:33Z,0,jamanya presiden mulyono ya hebat banget,6,positive
1WXfqPbbIZs,Ugx83YOZLNvMR-gBkE94AaABAg,@KaltaraTVOfficial,"yang bikin AS khawatir itu bukan Qris-nya, tapi suksesnya ini bisa jadi preseden bagi negara lain, kalau di Indo yang segitu luas dan ruwetnya aja bisa sukses, di negara lain juga pasti bisa dong...",2025-05-12T00:40:13Z,0,bikin khawatir qrisnya suksesnya preseden negara indo segitu luas ruwetnya aja sukses negara,13,negative
1WXfqPbbIZs,Ugw88fqGOPiKxL4Va-Z4AaABAg,@2008knightx,"QR ga perlu pake hape NFC. Jadi seluruh kalangan dari atas sampai menengah ke bawah bisa pake

Ga harus hape support NFC",2025-05-11T23:24:19Z,0,qr ga pake hape nfc kalangan menengah pake ga hape support nfc,12,negative
1WXfqPbbIZs,UgzN_LBkUf3tDB-TlDB4AaABAg,@risdegaming2543,🤗Indonesian mankin maju semoga mankin naju lagi ke depan nya aminn,2025-05-11T18:03:38Z,0,indonesian mankin maju semoga mankin naju nya aminn,8,positive
1WXfqPbbIZs,UgyIov-ymTFxQBTn2X94AaABAg,@mamoru64,"Gw ngarep nya sih QRIS bisa bertahan, karena ga cuma satu pihak yg terlibat dalam project ini yg bisa dirugikan 🤞",2025-05-11T18:03:21Z,0,gw ngarep nya sih qris bertahan ga yg terlibat project yg dirugikan,12,positive
1WXfqPbbIZs,Ugz86OMXYtuIOf-rwlF4AaABAg,@hobby_garage1767,Bang dimalaysia di Singapore juga kebnyakan pake pembayaran qr code dan china kebnyakan pake WeChat seperti qriss tapi kenapa American senggol nya indo sahaja.. apa cuma indo mereka mudah atur..,2025-05-11T17:34:43Z,0,bang dimalaysia singapore kebnyakan pake pembayaran qr code china kebnyakan pake wechat qriss american senggol nya indo sahaja indo mudah atur,21,positive
1WXfqPbbIZs,UgwWomOLaoSnCBbu9Pl4AaABAg,@bigbos-ce7qv,"Intinya, Bank Indonesia itu jangan ikut campur tangan politik. Saya masih percaya kalau Bank Indonesia tidak di masuki tangan kotor politikus, pasti rupiah per dolar itu bisa sangat murah. Yakin lah

Tapi para politikus burik itu tidak ingin",2025-05-11T17:16:33Z,0,intinya bank indonesia campur tangan politik percaya bank indonesia masuki tangan kotor politikus rupiah dolar murah politikus burik,18,neutral
1WXfqPbbIZs,UgzpgGXKNSejc9qA9H54AaABAg,@xiansampaitua3231,"mantapppp, secara ga langsung sebagai gua yang nonton pun merasakan patriotisme lewat konten dan komunikasi elu bang... terusin konten konten cinta tanah air kita, ga perlu tanah air beta, tahah air sa, tanah air aing, tanah air ikam, tapi TANAH AIR KITA, KITA SEMUA, KITA INDONESIA. dan seneng aja pas denger ""GOTONG ROYONG"" buat darah patriot ini membludak!!!!!!!!!!!!!!!!!",2025-05-11T16:32:44Z,0,mantapppp ga langsung gua nonton merasakan patriotisme konten komunikasi elu bang terusin konten konten cinta tanah air ga tanah air beta tahah air sa tanah air aing tanah air ikam tanah air indonesia seneng aja pas denger gotong royong darah patriot membludak,42,positive
1WXfqPbbIZs,UgzALfI5MhYuMY9EWmZ4AaABAg,@aissoselisa5116,KALAU PEMERINTAH TUNDUK SAMA SI DONALD BERARTI KITA ADALAH BANGSA YG PALING MALANG DI MUKA BUMI.,2025-05-11T16:03:57Z,0,pemerintah tunduk si donald bangsa yg malang muka bumi,9,negative
1WXfqPbbIZs,Ugw6xBDVW8LWvkbh5SR4AaABAg,@bagussetiawan-nx6ox,QRIS bikin orang boros susah ngerem ya😂😂😂,2025-05-11T16:00:36Z,0,qris bikin orang boros susah ngerem ya,7,negative
1WXfqPbbIZs,UgyzkeXzFwhbQSvHl5R4AaABAg,@boy6404,"thats raight,QR membuat transaksi manual lebih mudah ,simple ,fast. good job anak bangsa",2025-05-11T15:12:40Z,0,thats raightqr transaksi manual mudah simple fast good job anak bangsa,11,positive
1WXfqPbbIZs,Ugw_X8BDzZGa5UZWkkJ4AaABAg,@Afbar,Bang tolong bantu dikawal agar QRIS mendarah daging ditengah NEXUS yang digarap seluruh anggota ASEAN sebagai alat pembayaran di Asia Tenggara. Ketar ketir saya sebagai warga negara sekaligus pelaku usaha dan konsumen merasa riisih dengan project Nexus dimana BI ikut didalamnya. Bisa jadi kecoa kecoa gentayangan di project Nexus menggantikan QRIS lalu Nexus gagal akhirnya balik ke MasterVisa. Hhhfft.,2025-05-11T14:52:43Z,0,bang tolong bantu dikawal qris mendarah daging ditengah nexus digarap anggota asean alat pembayaran asia tenggara ketar ketir warga negara pelaku usaha konsumen riisih project nexus dimana bi didalamnya kecoa kecoa gentayangan project nexus menggantikan qris nexus gagal mastervisa hhhfft,40,negative
1WXfqPbbIZs,UgyZk7fvgepicM4LYnZ4AaABAg,@OmBewok,"apa bngt dah AS tuh, yg belanja org kita yg jualan org kita yg rese dy, gw pribadi sih ngindarin pembayaran pake visa atau mastercard, biar duit kita muter k tanah kita sndiri",2025-05-11T14:24:51Z,0,bngt dah tuh yg belanja org yg jualan org yg rese dy gw pribadi sih ngindarin pembayaran pake visa mastercard biar duit muter k tanah sndiri,26,negative
1WXfqPbbIZs,UgzAzJJgLRYPwnX6gvJ4AaABAg,@Ardi-_-,qris enak banget adminnya murah plus simpel,2025-05-11T14:14:55Z,0,qris enak banget adminnya murah plus simpel,7,positive
1WXfqPbbIZs,UgyL5q9DkOowMi6tzCp4AaABAg,@aninomiaibet5321,"Pernah baca, mulai tahun depan setiap penggunaan QRIS akan dikenai pajak 1,5% atau berapa gitu. Ya mudah-mudahan aja sih ga jadi ya. Kalo jadi, semuanya akan jadi mundur lagi dan masyarakat akan kembali pakai cash…",2025-05-11T13:47:45Z,0,baca penggunaan qris dikenai pajak gitu ya mudahmudahan aja sih ga ya kalo mundur masyarakat pakai cash,17,negative
1WXfqPbbIZs,UgxgatMEtgKwEeQZL5Z4AaABAg,@dedimawardi7601,Beli rokok sebatang sama kopi segelas bayarnya pakai Visa,2025-05-11T13:43:30Z,0,beli rokok sebatang kopi segelas bayarnya pakai visa,8,neutral
1WXfqPbbIZs,Ugw-AMEctPqmyspXzZl4AaABAg,@hendrawan299,"yg keselnya beberaoa spbu ""merah"" masih berpegang teguh ""CUMA BISA CASH"" gila kali dikira zaman batu",2025-05-11T13:35:36Z,0,yg keselnya beberaoa spbu merah berpegang teguh cash gila kali zaman batu,12,negative
1WXfqPbbIZs,UgxGGOv3BBTNJCPH5IB4AaABAg,@abdulwafi1664,"Bagaimana dengan Bill Gates Dia kan sudah masuk Indonesia, ada kemungkinan nggak dia yang akan mengendalikannya ke belakang 😩😩",2025-05-11T12:41:39Z,0,bill gates masuk indonesia nggak mengendalikannya,6,negative
1WXfqPbbIZs,Ugzg2_41ylDxhuQ98C94AaABAg,@nervtqng6813,"Saran buat UMKM beli QRIS Soundbox biar tau pelanggan udh bayar atau blom, kelemahan QRIS apalagi yang cuma dicetak akrilik bisa di manipulasi transaksi nya, bilangnya udh bayar ga taunya blom bayar atau riwayat Transaksi nya di edit",2025-05-11T12:27:52Z,0,saran umkm beli qris soundbox biar tau pelanggan udh bayar blom kelemahan qris dicetak akrilik manipulasi transaksi nya bilangnya udh bayar ga taunya blom bayar riwayat transaksi nya edit,29,neutral
1WXfqPbbIZs,UgwjO-ZtW4O0GjT9XpJ4AaABAg,@generasinewmind3543,hati2 server data qris diserang CIA,2025-05-11T10:48:24Z,0,hati server data qris diserang cia,6,neutral
1WXfqPbbIZs,UgyRp2MUhC5XcOW-AhB4AaABAg,@kartikadyan7074,"QRIS memang gila. Aq beli cabe, sayur ikan 20rb diwarung kecil ada QRIS nya gara2 skrg banyak orang yang ga punya uang cash batal beli hanya gara2 gak ada QRIS",2025-05-11T10:43:03Z,0,qris gila aq beli cabe sayur ikan rb diwarung qris nya gara skrg orang ga uang cash batal beli gara gak qris,22,negative
1WXfqPbbIZs,UgxzckJUM0ZiGbvN4UB4AaABAg,@fitriantibudiman828,"Di kedai jus ku jg pake Qris, belanja berapapun boleh bayar pake Qris",2025-05-11T10:26:05Z,0,kedai jus ku jg pake qris belanja bayar pake qris,10,positive
1WXfqPbbIZs,UgwflK8GAwStpYKiBK14AaABAg,@xana6696,"Klo untuk tap knpa msih lambat, kupikir krna gk semua orang punya hp yg sda NFCnya, Qris bisa ceper maju krna semua hape punya kamera",2025-05-11T10:22:49Z,0,klo tap knpa msih lambat kupikir krna gk orang hp yg sda nfcnya qris ceper maju krna hape kamera,19,positive
