video_id,comment_id,author_display_name,text,published_at,like_count,clean_text,word_count,sentiment
GKWzSsf-GcA,Ugwu5mmfgMqsUhFG7md4AaABAg,@aunoerrahmah838,"Bener om ben.. sy guru.. dlu sy pernah ikut pelatihan bimtek kurikulum baru.. berangkat dengan semangat, pengen nmabah ilmu dan pengetahuan. Tahunya disana, nyanyi nyanyi.. pembicaranya bilang ""ini pelatihan seharusnya 7hari tapi kita singkat jadi 2hari"".. kita cuma dikasih materi2.. tdk diberi kesempatan praktek. Pulang dapat uang saku, pelatihan di hotel.. tapi ilmu hanya materi tdk bisa diterapkan.. itu udah jadi mental guru. Berangkat pelatihan adalah bonus gak ngajar dan mendapatkan uang saku.. so sad..",2025-04-11T13:07:39Z,596,bener om ben sy guru dlu sy pelatihan bimtek kurikulum berangkat semangat pengen nmabah ilmu pengetahuan tahunya disana nyanyi nyanyi pembicaranya bilang pelatihan singkat dikasih materi tdk kesempatan praktek pulang uang saku pelatihan hotel ilmu materi tdk diterapkan udah mental guru berangkat pelatihan bonus gak ngajar uang saku sad,49,negative
GKWzSsf-GcA,UgwMH0ZY265PvEBgQF94AaABAg,@palangkapky6431,Penyampaian berita seperti ini yg saya suka jadi tahu permasalahan seluruh negara maju dan berkembang masa kini,2025-05-12T10:47:35Z,0,penyampaian berita yg suka permasalahan negara maju berkembang,8,positive
GKWzSsf-GcA,UgxU2kv4rOF661Mtzg14AaABAg,@geradusgeba2879,"MUNGKIN TERLALU CEPAT KITA GABUNG QRIS, BELUM SAATNYA KARENA EKONOMI KITA BELUM KUAT, GAMPANG DIMAINKAN OLEH NEGARA EKONOMI KUAT     PRIORITAS KITA BASMI KKN, LANJUT HILIRISASI/ TINGKATKAN PRODUKSI DAN EKPOR SERTA WAJIB BAWA PULANG DEVISA HASIL EKSPOR.",2025-05-12T09:19:35Z,0,cepat gabung qris ekonomi kuat gampang dimainkan negara ekonomi kuat prioritas basmi kkn hilirisasi tingkatkan produksi ekpor wajib bawa pulang devisa hasil ekspor,23,neutral
GKWzSsf-GcA,Ugys6lflIdka5BR3yMB4AaABAg,@HadiChandra-n7v,"PNS juga kan WNI,ya perlu disejahterakan supaya bisa memberikan pelayanan prima KPD masyaarakatnya",2025-05-11T12:50:53Z,0,pns wniya disejahterakan pelayanan prima kpd masyaarakatnya,7,positive
GKWzSsf-GcA,UgxIHDV3-HpofyeUUwh4AaABAg,@anaPesek-r4i,Bayangkan dulu klu bapak Prabowo jadi presiden 15th yg lalu. Mungkin saja ekonomi kita dah mandiri 😢,2025-05-11T06:14:53Z,0,bayangkan klu prabowo presiden th yg ekonomi dah mandiri,9,neutral
GKWzSsf-GcA,Ugx3t3YmlD4rS9UAMb94AaABAg,@PegoPego-vy7pq,Memang korupsi korupsi ini haruss di basmi bila perlu di hukum m*ti,2025-05-11T03:17:02Z,0,korupsi korupsi haruss basmi hukum mti,6,neutral
GKWzSsf-GcA,UgyzUTMls7Q-pPiZinB4AaABAg,@masrindho9499,"Bang klo mmng anda netral gk mmhak siapapun,knp mnyebut pk jokowi ky gt...sy suka chenel ini klo mmng bnr2 netral.jngan gt lh bang....yng tdinya saya percaya 100%.skrng berkurang.evaluasi lh bng jngn mimihak,krna bila ad gejolak appun di dunia pasti sy cari infonya di chanel ini.",2025-05-11T02:15:10Z,0,bang klo mmng netral gk mmhak siapapunknp mnyebut pk jokowi ky gtsy suka chenel klo mmng bnr netraljngan gt lh bangyng tdinya percaya skrng berkurangevaluasi lh bng jngn mimihakkrna ad gejolak appun dunia sy cari infonya chanel,37,positive
GKWzSsf-GcA,UgzgW90MC6JOWwyvsyZ4AaABAg,@khusnulardi9297,Cerdas sekali dan harus cerdik dg tu[u daya negara asing.kita hrs melakukan syrategy. Yg bauk,2025-05-10T22:42:55Z,0,cerdas cerdik dg tuu daya negara asingkita hrs syrategy yg bauk,11,positive
GKWzSsf-GcA,Ugz579YdWbM-eZiKKQJ4AaABAg,@ninaindra1390,"KALAU BISA UTK PEMERINTAH, KHUSUSNYA BAPAK PRESIDEN DAN MENTRI PERTANIAN, UTK MEMPERKUAT MEMPERLUAS MENANAM KEDELAI DAN GANDUM DAN JAGUNG JUGA SPT PADI KITA YG SUDAH SANGAT GOOD JOB ITU BAPAK2 UTK DIPERBESAR, DITINGKATKAN TERUS.",2025-05-10T01:28:08Z,1,utk pemerintah presiden mentri pertanian utk memperkuat memperluas menanam kedelai gandum jagung spt padi yg good job utk diperbesar ditingkatkan,20,neutral
GKWzSsf-GcA,UgzazlExfqgBc6pZbTB4AaABAg,@StoneBooga,"Saking setia jadi anjing amerika. sampai mengadopsi paham. manusia berasal dr kera, di iya iya kan aja. padahal bertentangsn sama ajaran keyakinan diseluruh masyarakat Indonesia itu sendiri. kan Anjeng!",2025-05-09T15:03:49Z,0,saking setia anjing amerika mengadopsi paham manusia berasal dr kera iya iya aja bertentangsn ajaran keyakinan diseluruh masyarakat indonesia anjeng,20,negative
